"code","description","class","row"
"INFOEmpch","Change in employment","baseind",510
"FINLev","Output","baseind",511
"FINch","Change in output","baseind",512
"FINch4q","year to change in output",NA,513
"FINEmp","Employment","baseind",514
"FINEmpch","Change in employment","baseind",515
"PROPLev","Output","baseind",516
"PROPch","Change in output","baseind",517
"PROPch4q","year to change in output","baseind",518
"PROPEmp","Employment","baseind",519
"PROPEmpch","Change in employment","baseind",520
"BUSLev","Output","baseind",521
"BUSch","Change in output","baseind",522
"BUSch4q","year to change in output","baseind",523
"BUSEmp","Employment","baseind",524
"BUSEmpch","Change in employment","baseind",525
"RECLev","Output","baseind",526
"RECch","Change in output","baseind",527
"RECch4q","year to change in output","baseind",528
"RECEmp","Employment","baseind",529
"RECEmpch","Change in employment","baseind",530
"PUBLev","Output","baseind",531
"PUBch","Change in output","baseind",532
"PUBch4q","year to change in output","baseind",533
"PUBEmp","Employment","baseind",534
"PUBEmpch","Change in employment","baseind",535
"EDUCLev","Output","baseind",536
"EDUCch","Change in output","baseind",537
"EDUCch4q","year to change in output",NA,538
"EDUCEmp","Employment","baseind",539
"EDUCEmpch","Change in employment","baseind",540
"HEALLev","Output","baseind",541
"HEALch","Change in output","baseind",542
"HEALch4q","year to change in output",NA,543
"HEALEmp","Employment","baseind",544
"HEALEmpch","Change in employment",NA,545
"DWELLev","Output",NA,546
"DWELLch","Change in output",NA,547
"DWELLch4q","year to change in output",NA,548
"ImpDuties",NA,NA,549
"ComWhe","Wheat production",NA,550
"ComWhech","Change in production",NA,551
"ComIro","Iron production",NA,552
"ComIroch","Change in production",NA,553
"ComBau","Bauxite production",NA,554
"ComBauch","Change in production",NA,555
"ComCoa","Coal production",NA,556
"ComCoach","Change in production",NA,557
"ComGol","Gold production",NA,558
"ComGolch","Change in production",NA,559
"MtrVhcReg","Motor vehicle registrations","MVRegos",560
"MtrVhcRegCh","Change in motor vehicle registrations",NA,561
"MtrVhcRegCh4q","Change in motor vehicle registrations 4 quarter to change",NA,562
"OutIndTax","Taxes less subsidies","baseind",563
"OutIndOutDis",NA,"baseind",564
"Farmratio","Farm","baseind",565
"Minratio","Mining","baseind",566
"Manratio","Manufacturing","baseind",567
"Foodratio","Food beverage and tobacco","baseind",568
"TCFratio","Textile, clothing and other","baseind",569
"Woodratio","Wood and paper","baseind",570
"Printratio","Printing and recorded media","baseind",571
