equation,term,estimate,std_error
Tprl,c2,-0.21247096204387203,0.0376890378863733
Tprl,c4,-1.2529979515600003,0.3569656949153201
Tprl,c5,-0.17729895128906065,0.09338502358406417
Toth,c1,-0.013268779926073747,0.028081175971595103
Toth,c2,-0.0054906592114443604,0.011138675853731564
Toth,c3,-0.13722154575731693,0.3307829470249325
Toth,c4,0.9184788983599887,0.1546282852158418
Ytsf,c1,-0.6732015248500453,0.12433097639203594
Ytsf,c2,-0.27363730595216423,0.048147784219815686
Ytsf,c3,0.9081518086080135,0.044880477147479725
Ytsf,c4,-1.2107236925053007,0.8975831298851117
Ytsf,c5,1.1629292421816098,0.8503612991370836
Ytsf,c6,0.04598523358287593,0.01150757078297688
Ytsf,c7,0.7296703107162226,0.13931538603679797
Xmin,c1,-0.1338701179052754,0.05123989383993218
Xmin,c2,-0.048833117702735074,0.018738907805354008
Xmin,c3,-0.259276292493106,0.07431478565504251
Xmin,c4,2.550969885693965,1.0223851589775386
Xmin,c5,-2.3339013532986383,1.3566081834518344
Xmin,c6,1.3720298752269666,1.0307780851101351
Xmin,c7,1.05742098120973,0.8229355045755299
Xmin,c8,-1.926777121078712,1.092138466030463
Xmin,c9,0.7503797713066256,0.794817427217113
Xmin,c10,0.03669830790578041,0.03303916406116568
Xmin,c11,-0.002343905982619077,0.03511819316939464
Xmin,c12,-0.005366736144436381,0.03282702390274454
Lavh,rho,0.6410530347434422,0.06227905087013183
Lavh,c1,453.2778672538041,0.7311179601684391
Lavh,c2,-19.35631804538085,3.693367459038383
Lavh,c3,-1.0040756564618913,0.07636767286237296
Lavh,c4,-0.3697973824340822,0.01384552870459488
LempNonmkt,c1,-2.024387887410305,0.2272031964098506
LempNonmkt,c2,0.44277254599932564,0.06423519654371357
LempNonmkt,c3,0.0020249607033063694,2.131218455642469e-4
LempNonmkt,c4,0.5062838695852983,0.040369008438132285
Lpar,c1,4.4410462120388365e-4,1.404421494105679e-4
Lpar,c2,-0.3656056854777338,0.05617676015488659
Lpar,c3,-0.12951895764862323,0.026912971237317136
Lpar,c4,0.10201494078425195,0.054820001334638845
Lpar,c5,-0.0344867643500924,0.06106496986126736
Lpar,c6,-8.693228321768974e-5,4.044973113488049e-5
Lpar,c7,-0.024908297501989453,0.0021132482566420495
Lpar,c8,0.009550858389431567,0.0024882790411338094
Lpar,c9,0.009477207044892924,0.001911455562038904
Lwge,c1,0.0019604347317879176,6.699722245344908e-4
Lwge,c2,0.20251113617267794,0.18615808740996456
Lwge,c3,-0.009891792976223371,0.007283051312879683
Lwge,c4,0.6920439994162356,0.23948484713365245
Lwge,c5,-0.9421884704288178,0.25779568266090525
Pcpi,c1,0.020210574999118134,0.005052943042599982
Pcpi,c2,-0.12018223354827087,0.03026282487598362
Pcpi,c3,7.64179741096649e-4,5.2397885520928e-5
Pcpi,c4,1.0469655554721689,0.04546027755307905
Pcpi,c6,-0.02612810104573315,0.004127849438086275
Pcpi,c7,0.02623388579616922,0.004082855791883601
Pcpi,c8,-0.017036577985207857,0.004051112750568825
Piret,c1,-1.5233341048297786,0.02867865609240151
Piret,c3,0.00803271792083457,2.0328228068048482e-4
Pxagr,c1,-0.01209429121770605,0.005886485334843383
Pxagr,c2,-0.056374271020910645,0.0181178096125173
Pxagr,c3,0.3071174391309051,0.03817535410555751
Pxagr,c4,0.19239024079238887,0.03905079154076993
Pxagr,c5,-0.17335520331695056,0.029952804689263368
Pxagr,c6,-0.06577894253153144,0.015207396940361143
