date,variable,actual,simulated
2021-03-01,PhouseSa,624.52894176987,660.9215248105554
2021-06-01,PhouseSa,654.774977292444,667.8431292384145
2021-09-01,PhouseSa,669.743603113143,668.512122070405
2021-12-01,PhouseSa,711.321989205974,665.3071131989637
2022-03-01,PhouseSa,707.111092865362,667.9887350000874
2022-06-01,PhouseSa,703.53614561367306,672.8594740561582
2022-09-01,PhouseSa,694.099191751295,683.629093970366
2022-12-01,PhouseSa,688.705423182682,700.3056248822344
2023-03-01,PhouseSa,696.84137340296,719.9568030754496
2023-06-01,PhouseSa,716.257590702167,742.5769865765617
2023-09-01,PhouseSa,736.557090477962,763.9604254236268
2023-12-01,PhouseSa,736.654327306337,782.2876301945569
2024-03-01,PhouseSa,763.164340351054,799.6733026100644
2024-06-01,PhouseSa,771.622025405961,813.7394023066212
2024-09-01,PhouseSa,780.682732105855,826.0110478307661
2024-12-01,PhouseSa,782.687991913457,832.9669817749128
2010-03-01,R90d,0.0423,0.06604241997157978
2010-06-01,R90d,0.047458,0.06773541810849118
2010-09-01,R90d,0.047992,0.06794436721897358
2010-12-01,R90d,0.0495,0.06517016011178
2011-03-01,R90d,0.049308,0.06363235471603398
2011-06-01,R90d,0.04965,0.05357370431014368
2011-09-01,R90d,0.048742,0.05697067499323053
2011-12-01,R90d,0.046183,0.06018131088989298
2012-03-01,R90d,0.044075,0.04983982911459441
2012-06-01,R90d,0.037833,0.05582020987919982
2012-09-01,R90d,0.035508,0.05104158984683228
2012-12-01,R90d,0.031725,0.05144353186054663
2013-03-01,R90d,0.029967,0.04067959117579507
2013-06-01,R90d,0.0288,0.010852219764473044
2013-09-01,R90d,0.026467,0.026114003814440977
2013-12-01,R90d,0.025867,0.0295643981628968
2014-03-01,R90d,0.026333,0.022628248571594577
2014-06-01,R90d,0.0269,0.017899081665838326
2014-09-01,R90d,0.026467,0.026310575125362484
2014-12-01,R90d,0.0274,0.026919794013330767
2015-03-01,R90d,0.024533,0.026493217387344527
2015-06-01,R90d,0.021833,0.03262567494057166
2015-09-01,R90d,0.0215,0.03241419637561941
2015-12-01,R90d,0.022367,0.03545254574923202
2016-03-01,R90d,0.022967,0.03783969799395379
2016-06-01,R90d,0.020833,0.04661662197348939
2016-09-01,R90d,0.018067,0.04829285690254948
2016-12-01,R90d,0.0176,0.05488756973648742
2017-03-01,R90d,0.017833,0.05756304044334361
2017-06-01,R90d,0.0174,0.06248590899229914
2017-09-01,R90d,0.017067,0.056213643194251116
2017-12-01,R90d,0.0173,0.06105600963294279
2018-03-01,R90d,0.0183,0.06030288355027682
2018-06-01,R90d,0.0203,0.05539988883041892
2018-09-01,R90d,0.0197,0.05985475270085796
2018-12-01,R90d,0.019633,0.059283103081843216
