equation,term,estimate,std_error
Tpit,c1,3.880481437414096e-4,0.0054842537793663645
Tpit,c2,-0.060962993901027426,0.022333496008005868
Tpit,c4,-0.13440745850669034,0.06764903309839387
Tpit,c5,-0.15264983278974698,0.06843576487991153
Tpit,c6,1.1295123060496852,0.29191689417679484
Tpit,c7,-0.31758524818601197,0.06045373797145052
Tpit,c8,-0.24860332755023012,0.042862637769050416
Wgov,x,0.17055305328853326,0.1084517555294004
Prent,c1,-0.1257038492850732,0.026723240502434326
Prent,c2,-0.051830136817640336,0.011272482808187982
Prent,c4,15.677862872520883,0.9365287595220247
Prent,c5,0.029787267490488746,0.011422368204485769
Prent,c6,-0.0635110872411152,0.0419610264416397
Prent,c7,0.09449313898677637,0.042113521213483204
Prent,c8,0.437211971635199,0.09541647036652345
Inonmin,c1,-0.4225643040299693,0.22566298176743071
Inonmin,c2,-0.05101217879894808,0.027310723043545204
Inonmin,c5,0.876527086553765,0.25258663300103784
Inonmin,c6,0.760014805266799,0.2628863300154783
Inonmin,c7,0.46202171507185313,0.25377763254447494
Inonmin,c8,0.3342853302753552,0.25839176722849366
Inonmin,c9,-0.2897268781707257,0.09226566880302835
Inonmin,c10,-0.17604894999788556,0.034886019007429415
Inonmin,c11,-0.484280524927635,0.4910243623947586
Ynli,c1,0.11740986733690251,0.029785971327987566
Ynli,rm,-0.4891520750108713,0.13892225118789941
Ynli,pe,-0.027725200515105037,0.21138920219739143
Ynli,pe1,0.1938272463275348,0.33998748164968734
Ynli,pe2,-0.45004266626806316,0.33964054770266505
Ynli,pe3,0.24118127415177845,0.21153154430095375
Ynli,l_r,0.7106663900294213,0.06767582948053866
EqiEarn,c1,-1.0934690988001472,0.29352544238922423
EqiEarn,c2,-0.31252732519092685,0.07742433903538576
EqiEarn,c3,0.5242266833819065,0.19496964113591594
EqiEarn,c4,-1.37759859791813,0.4367327818527832
EqiEarn,c5,-0.00915208219533713,0.001474422738729751
EqiEarn,c7,0.06741705268339923,0.0974362707500954
EqiEarn,c8,-0.7629398559694649,0.2887833539602874
EqiEarn,c9,0.22150953857501504,0.3396785404375635
EqiEarn,c10,0.15497562496487371,0.35050596642140985
EqiEarn,c11,0.06339595695672187,0.36888121939994506
EqiEarn,c12,0.4904619438935456,0.3548482758756729
EqiEarn,c13,0.5752402299406585,0.352448086596067
Tgst,c1,-0.17087672802314866,0.12022687209853469
Tgst,c2,-0.07557086479564132,0.04544976322159649
Tgst,c3,0.047761749536656316,0.021649421405889293
Tgst,c4,-0.0025747941768777907,0.0012956703597071868
Tgst,c5,0.7209558287682102,0.08117139414264518
Tgst,c6,-0.08347461069081873,0.07892001548599384
Tgst,c7,-0.1228288411437405,0.07963828742192978
Tgst,c8,-0.1816516419529862,0.07820690540404314
Tgst,c9,-0.1711409273295293,0.07670733405601589
Xoth,c1,-0.14221161290967477,0.06179059285750792
Xoth,c2,-0.04763252202992193,0.01705528660522592
Xoth,c3,-0.1404582010796364,0.78431115577903
Xoth,c4,0.702045801800712,0.44196247388072546
Xoth,c5,-0.006332642963022892,0.003314234182771897
Xoth,c6,-0.14387260433642565,0.07469101483274124
Xoth,c7,0.9657768700655383,0.28011795823476626
Pxmin,c1,-0.05444095243625383,0.020680822325644183
Pxmin,c2,-0.0786331980125064,0.026195333573011313
Pxmin,c3,0.41228992188204844,0.06246451130581926
Pxmin,c4,-1.1047048401826634,0.1318585012701518
Pxoth,c1,-0.326663102998233,0.10726715901840282
Pxoth,c2,-0.14513489046754516,0.042126010925355374
Pxoth,c3,0.476209744846854,0.14377265086124663
Pxoth,c4,0.0010908415909805804,4.5452883582823534e-4
Pxoth,c5,0.503032372602559,0.13015791642683805
Pxoth,c6,0.7338012977814983,0.07546737340840264
Pcnh,c1,-0.26756490006597117,0.07333073827150337
Pcnh,c2,-0.07926393918923666,0.021366454280309515
Pcnh,c3,0.7488153498863996,0.021310716291177034
Pcnh,c4,-0.006784042683478449,0.005428570793684496
Pcnh,c5,0.05413359337377974,0.02519990800670128
Pcnh,c6,0.026129828344094004,0.012657933304393989
Pcnh,c9,0.020687235942062558,0.003606448231239641
Pcnh,c10,-0.011662676880252373,0.008281103913690885
Ppcd,c1,0.8011791867171781,0.005047020683106974
